placekey,raw_visit_counts,raw_visitor_counts,visits_by_day,visits_by_each_hour,poi_cbg,visitor_home_cbgs,visitor_daytime_cbgs,distance_from_home,normalized_visits_by_state_scaling,date_range_start,date_range_end,median_dwell,bucketed_dwell_times
225-222@62j-sj9-7kf,3.0,2.0,"[0, 0, 0, 1, 2, 0, 0]","[0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,1,1,0,0,0,0,0,0]",250173501031,{},"{""410510005011"":4}",,66.92162224257271,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,426.0,"{""<5"":0,""5-10"":0,""11-20"":0,""21-60"":0,""61-120"":1,""121-240"":0,"">240"":2}"
22s-223@62j-sjs-zs5,3.0,2.0,"[0, 2, 0, 0, 1, 0, 0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0]",250173544002,{},{},,66.92162224257271,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,6.0,"{""<5"":1,""5-10"":1,""11-20"":0,""21-60"":1,""61-120"":0,""121-240"":0,"">240"":0}"
23s-222@62j-sk2-ty9,13.0,9.0,"[0, 1, 0, 0, 2, 0, 10]","[0,0,0,0,0,0,0,0,1,6,5,6,5,0,0,0,0,0,2,1,0,1,1,0]",250173547001,"{""250173394002"":4}","{""250173539001"":4}",2428.0,289.9936963844817,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,66.0,"{""<5"":0,""5-10"":1,""11-20"":1,""21-60"":3,""61-120"":7,""121-240"":1,"">240"":0}"
zzy-222@62j-sj3-47q,9.0,9.0,"[2, 0, 0, 5, 1, 1, 0]","[0,0,0,0,0,0,0,1,1,5,8,5,5,4,1,1,1,1,1,0,0,0,0,0]",250173524002,"{""250173861003"":4,""250059856001"":4,""250173221003"":4}",{},15434.0,200.76486672771813,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,205.0,"{""<5"":1,""5-10"":0,""11-20"":1,""21-60"":1,""61-120"":1,""121-240"":2,"">240"":3}"
24d-222@62j-sj3-89z,45.0,22.0,"[4, 7, 4, 8, 8, 10, 4]","[5,4,4,3,3,2,2,2,9,8,9,11,8,10,9,5,6,7,5,6,6,5,4,5]",250173527002,"{""250173161022"":5,""250173526002"":4,""250173322003"":4,""250173382001"":4,""500070021022"":4,""250173524002"":4,""250092081023"":4}","{""250173322003"":5,""500239550002"":4,""250173382001"":4,""250173521022"":4}",7135.0,1003.8243336385907,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,43.0,"{""<5"":2,""5-10"":13,""11-20"":2,""21-60"":8,""61-120"":8,""121-240"":4,"">240"":8}"
23s-222@62j-sjz-yqf,4.0,4.0,"[2, 0, 1, 0, 0, 0, 1]","[2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,0,0,0,0,2,1,1]",250173505001,{},{},,89.22882965676361,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,272.0,"{""<5"":0,""5-10"":0,""11-20"":2,""21-60"":0,""61-120"":0,""121-240"":0,"">240"":2}"
22f-222@62j-sk2-rhq,87.0,35.0,"[13, 11, 14, 17, 20, 9, 3]","[3,3,2,2,4,4,30,35,36,35,36,39,36,28,23,18,16,11,11,5,6,8,8,7]",250173511003,"{""390351048001"":4,""250173398014"":4,""250250820001"":4,""250173163004"":4,""440070156003"":4,""330110002042"":4,""440030205001"":4,""250277011004"":4}","{""330150675011"":7,""250173511003"":5,""330170850001"":4,""250173398014"":4,""250056501012"":4,""250173549001"":4,""250173163004"":4,""250173512033"":4}",46911.0,1940.7270450346084,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,103.0,"{""<5"":0,""5-10"":16,""11-20"":7,""21-60"":20,""61-120"":3,""121-240"":10,"">240"":31}"
238-222@62j-sj3-b6k,1.0,1.0,"[0, 0, 1, 0, 0, 0, 0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0]",250173513002,{},{},,22.30720741419091,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,87.0,"{""<5"":0,""5-10"":0,""11-20"":0,""21-60"":0,""61-120"":1,""121-240"":0,"">240"":0}"
zzw-222@62j-sjy-zvf,6.0,6.0,"[0, 1, 1, 1, 0, 1, 2]","[0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,2,3,2,0,0,1,0]",250173507002,"{""250173165001"":4,""250173507002"":4}","{""250173507004"":4,""250173507002"":4,""250173506001"":4}",700.0,133.84324448514542,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,23.5,"{""<5"":1,""5-10"":0,""11-20"":1,""21-60"":2,""61-120"":0,""121-240"":1,"">240"":1}"
22k-222@62j-sj3-7h5,24.0,19.0,"[1, 0, 5, 2, 9, 4, 3]","[3,3,2,2,2,2,2,3,3,2,2,4,2,3,3,2,4,4,3,1,1,2,3,4]",250173512033,"{""250173501042"":4,""250235421013"":4,""250056551001"":4,""371830524011"":4,""250092106001"":4}","{""371830524011"":4,""250056551001"":4,""250173514031"":4,""250092105003"":4,""250092106001"":4,""250235421013"":4,""250173530004"":4,""250173501042"":4}",17186.0,535.3729779405817,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,20.0,"{""<5"":2,""5-10"":7,""11-20"":3,""21-60"":5,""61-120"":2,""121-240"":3,"">240"":2}"
