LUDesc,Category,lon_POI,lat_POI
TWO-FAM-RES,Residential,-71.13056788433903,42.39881720856198
TWO-FAM-RES,Residential,-71.13657690232205,42.39878194160644
SNGL-FAM-RES,Residential,-71.13641280592299,42.398772219414816
THREE-FM-RES,Residential,-71.13624893351879,42.39883188297653
>8-UNIT-APT,Residential,-71.13322597774756,42.398703196842895
SNGL-FAM-RES,Residential,-71.13591645325243,42.398827657402784
TWO-FAM-RES,Residential,-71.13110506167602,42.398763794953034
SNGL-FAM-RES,Residential,-71.12904688312852,42.39875157528155
TWO-FAM-RES,Residential,-71.12964419085093,42.39872736613643
TWO-FAM-RES,Residential,-71.12918210177146,42.39870878558441
TWO-FAM-RES,Residential,-71.13064380297367,42.398737968724326
SNGL-FAM-RES,Residential,-71.13591544971521,42.3987381156405
TWO-FAM-RES,Residential,-71.12926604913801,42.39863352850422
THREE-FM-RES,Residential,-71.13624955264044,42.3986967260221
TWO-FAM-RES,Residential,-71.13072034432687,42.39865818048777
THREE-FM-RES,Residential,-71.13265606482467,42.39866011103776
TWO-FAM-RES,Residential,-71.12935117421061,42.39855671593317
>8-UNIT-APT,Residential,-71.13407843964374,42.39834434218859
THREE-FM-RES,Residential,-71.12943611445789,42.39847974920521
TWO-FAM-RES,Residential,-71.13265438704086,42.39855498354975
TWO-FAM-RES,Residential,-71.13087416978497,42.39849884481936
SNGL-FAM-RES,Residential,-71.13228713649187,42.398389253683824
THREE-FM-RES,Residential,-71.12952072067115,42.39840452096442
TWO-FAM-RES,Residential,-71.13265349474491,42.39845035396013
THREE-FM-RES,Residential,-71.12990318562812,42.39835197036656
THREE-FM-RES,Residential,-71.12959903682085,42.39833282497661
>8-UNIT-APT,Residential,-71.13073624709388,42.398246495772355
4-8-UNIT-APT,Residential,-71.12891654629404,42.398262502618906
TWO-FAM-RES,Residential,-71.13264891108226,42.39834487792917
TWO-FAM-RES,Residential,-71.12982158925563,42.398288553774776
TWO-FAM-RES,Residential,-71.12963842775872,42.39823462976403
THREE-FM-RES,Residential,-71.12904402592397,42.39814806480438
TWO-FAM-RES,Residential,-71.12972224569924,42.39816135002311
THREE-FM-RES,Residential,-71.12915850087232,42.3980460332255
TWO-FAM-RES,Residential,-71.12924313732671,42.3979700643692
SNGL-FAM-RES,Residential,-71.12930580050991,42.397911633375884
MXD 4-8-UNIT-AP,Mixed Use Residential,-71.13322443304031,42.3975795275724
>8-UNIT-APT,Residential,-71.1326323303624,42.39756961338463
SNGL-FAM-RES,Residential,-71.132359185457,42.397724085047805
SNGL-FAM-RES,Residential,-71.13199364150067,42.397701883630845
SNGL-FAM-RES,Residential,-71.13171116451628,42.39767701609415
BOARDING-HSE,Assisted Living/Boarding House,-71.13145706328025,42.397427739420785
THREE-FM-RES,Residential,-71.1338089063155,42.39756445700277
SNGL-FAM-RES,Residential,-71.13236207649622,42.397624976333354
4-8-UNIT-APT,Residential,-71.13286832058981,42.39753241899629
SNGL-FAM-RES,Residential,-71.13516991287659,42.39758903159794
SNGL-FAM-RES,Residential,-71.13200540556521,42.39760639134091
SNGL-FAM-RES,Residential,-71.13447965544786,42.39756701316982
SNGL-FAM-RES,Residential,-71.13505090138652,42.39758099802607
SNGL-FAM-RES,Residential,-71.13493163076123,42.3975730665288
SNGL-FAM-RES,Residential,-71.13481400150594,42.39756401694299
SNGL-FAM-RES,Residential,-71.13468626384964,42.39756198792138
SNGL-FAM-RES,Residential,-71.13172235678611,42.39758740897901
TWO-FAM-RES,Residential,-71.13299087058967,42.3974819864489
SNGL-FAM-RES,Residential,-71.13236686458445,42.39753029749122
SNGL-FAM-RES,Residential,-71.132017102747,42.39751255056823
TWO-FAM-RES,Residential,-71.13115704317393,42.39747970434697
SNGL-FAM-RES,Residential,-71.13173041529308,42.39751590992457
THREE-FM-RES,Residential,-71.12802198462218,42.39742945856015
SNGL-FAM-RES,Residential,-71.13173957940649,42.39744481298776
TWO-FAM-RES,Residential,-71.13243224908487,42.397411440233014
SNGL-FAM-RES,Residential,-71.13231303811807,42.39740361973158
TWO-FAM-RES,Residential,-71.13614717294077,42.3974076302276
4-8-UNIT-APT,Residential,-71.13208737131933,42.39739298567086
SNGL-FAM-RES,Residential,-71.13197631254319,42.39738437044825
THREE-FM-RES,Residential,-71.12823039951262,42.397296089367046
TWO-FAM-RES,Residential,-71.13571404327092,42.39729401007354
TWO-FAM-RES,Residential,-71.13547524069041,42.39733589044487
SNGL-FAM-RES,Residential,-71.13175016466907,42.39734996084255
TWO-FAM-RES,Residential,-71.13115493302698,42.39732892302973
>8-UNIT-APT,Residential,-71.13554314344177,42.39767166369446
TWO-FAM-RES,Residential,-71.134932272516,42.39724449730511
SNGL-FAM-RES,Residential,-71.13472991662758,42.39723785115398
SNGL-FAM-RES,Residential,-71.1345808306003,42.39723477878068
SNGL-FAM-RES,Residential,-71.13443226466777,42.39722993741195
THREE-FM-RES,Residential,-71.13410278226924,42.397238462492766
THREE-FM-RES,Residential,-71.133881644982,42.397235556765956
4-8-UNIT-APT,Residential,-71.13608567559521,42.397213853269136
SNGL-FAM-RES,Residential,-71.13355496026995,42.39716908384722
THREE-FM-RES,Residential,-71.13340613017075,42.39717232486647
TWO-FAM-RES,Residential,-71.12762863929598,42.39716404717079
THREE-FM-RES,Residential,-71.12812970311606,42.397182649821545
4-8-UNIT-APT,Residential,-71.13203789172334,42.39709201792385
SNGL-FAM-RES,Residential,-71.13549929111952,42.39717532087751
SNGL-FAM-RES,Residential,-71.13189393131928,42.397129933556585
TWO-FAM-RES,Residential,-71.13179195637835,42.39712200217273
TWO-FAM-RES,Residential,-71.13168438512284,42.3971159466259
BOARDING-HSE,Assisted Living/Boarding House,-71.12823340594626,42.39688009796957
TWO-FAM-RES,Residential,-71.1314180179353,42.39711157963216
TWO-FAM-RES,Residential,-71.13128711002038,42.39710770002376
TWO-FAM-RES,Residential,-71.13115575757442,42.397104224082454
THREE-FM-RES,Residential,-71.1310296224758,42.397100977177864
SNGL-FAM-RES,Residential,-71.12785716895566,42.39701665587657
SNGL-FAM-RES,Residential,-71.13398429004012,42.397070652862475
>8-UNIT-APT,Residential,-71.13604859112715,42.396973686649105
TWO-FAM-RES,Residential,-71.13457457614084,42.39701619193293
SNGL-FAM-RES,Residential,-71.13501856361842,42.39701170010117
SNGL-FAM-RES,Residential,-71.12796971998688,42.39694591757513
SNGL-FAM-RES,Residential,-71.13109220624135,42.39699494893117
SNGL-FAM-RES,Residential,-71.13134961785086,42.39699253287341
SNGL-FAM-RES,Residential,-71.13177703537234,42.39698823560213
TWO-FAM-RES,Residential,-71.13665272587245,42.39696612368726
THREE-FM-RES,Residential,-71.13346198317063,42.39695687128279
THREE-FM-RES,Residential,-71.13365102856086,42.396935827347825
SNGL-FAM-RES,Residential,-71.13398100262928,42.39696008232024
SNGL-FAM-RES,Residential,-71.12728963985565,42.39686325024572
TWO-FAM-RES,Residential,-71.13202568936886,42.39692638157819
TWO-FAM-RES,Residential,-71.13109023409426,42.396900202478975
TWO-FAM-RES,Residential,-71.13134812100357,42.39689801881638
TWO-FAM-RES,Residential,-71.13177150659621,42.396892187474926
4-8-UNIT-APT,Residential,-71.13457065680657,42.39688184339925
SNGL-FAM-RES,Residential,-71.12713732815281,42.39679099779244
SNGL-FAM-RES,Residential,-71.13397615362048,42.39684989754814
SNGL-FAM-RES,Residential,-71.12758957563015,42.39680283029663
SNGL-FAM-RES,Residential,-71.13202112884699,42.3968503758492
SNGL-FAM-RES,Residential,-71.13664693710145,42.39682721170421
SNGL-FAM-RES,Residential,-71.12844243240802,42.39672456426606
THREE-FM-RES,Residential,-71.13364121943091,42.39681865922788
THREE-FM-RES,Residential,-71.13345662838564,42.39680543790498
SNGL-FAM-RES,Residential,-71.12766820016674,42.39675361557432
SNGL-FAM-RES,Residential,-71.131087746226,42.396804152055324
SNGL-FAM-RES,Residential,-71.13134606476207,42.396801808940914
SNGL-FAM-RES,Residential,-71.13176319691595,42.39679549113757
SNGL-FAM-RES,Residential,-71.12704562185111,42.39670549090244
SNGL-FAM-RES,Residential,-71.13548528547516,42.396799253236715
TWO-FAM-RES,Residential,-71.1356472826943,42.396750757261955
SNGL-FAM-RES,Residential,-71.13576810743938,42.396747822304505
TWO-FAM-RES,Residential,-71.13604849080211,42.396764248479094
SNGL-FAM-RES,Residential,-71.13201650252674,42.39677421644985
SNGL-FAM-RES,Residential,-71.13238005122994,42.39674176997162
SNGL-FAM-RES,Residential,-71.13260425614443,42.39673740100886
SNGL-FAM-RES,Residential,-71.12775462421047,42.39669919452685
>8-UNIT-APT,Residential,-71.13500823529336,42.39673833889873
TWO-FAM-RES,Residential,-71.13293546323517,42.39673069033391
SNGL-FAM-RES,Residential,-71.13382431267982,42.39668245691901
SNGL-FAM-RES,Residential,-71.13404811229958,42.39673779667205
THREE-FM-RES,Residential,-71.13020916979441,42.39666160200704
TWO-FAM-RES,Residential,-71.12756666902992,42.39665515274073
SNGL-FAM-RES,Residential,-71.12695207386203,42.39662323402017
TWO-FAM-RES,Residential,-71.13108630610355,42.39670796312474
SNGL-FAM-RES,Residential,-71.13134428125849,42.396705237166536
SNGL-FAM-RES,Residential,-71.13175786350645,42.396699067114014
TWO-FAM-RES,Residential,-71.12779430190076,42.39659715009639
TWO-FAM-RES,Residential,-71.1333759356883,42.39666320317324
TWO-FAM-RES,Residential,-71.13664114087952,42.39668929810458
SNGL-FAM-RES,Residential,-71.13548149914692,42.396709553675294
SNGL-FAM-RES,Residential,-71.1335243901248,42.39665990658752
SNGL-FAM-RES,Residential,-71.13367429225364,42.39665735895143
SNGL-FAM-RES,Residential,-71.13201048814099,42.396698293107896
THREE-FM-RES,Residential,-71.13030143415158,42.396606541710895
THREE-FM-RES,Residential,-71.1274870906227,42.396583098821594
TWO-FAM-RES,Residential,-71.1278905430088,42.396538369339744
SNGL-FAM-RES,Residential,-71.13605017646974,42.39665916534216
SNGL-FAM-RES,Residential,-71.12685782580904,42.39653957914421
SNGL-FAM-RES,Residential,-71.13404310198403,42.39662241843796
THREE-FM-RES,Residential,-71.13039556742456,42.39655153256461
TWO-FAM-RES,Residential,-71.13237550865676,42.39660569561007
SNGL-FAM-RES,Residential,-71.1344423438651,42.39661225134381
TWO-FAM-RES,Residential,-71.13259940305028,42.39660174073097
TWO-FAM-RES,Residential,-71.13466464474932,42.3966077245822
SNGL-FAM-RES,Residential,-71.13282080153216,42.39659726742569
TWO-FAM-RES,Residential,-71.13500319745418,42.39660094363936
TWO-FAM-RES,Residential,-71.13108403126544,42.39661140370953
SNGL-FAM-RES,Residential,-71.13200458557117,42.396621259700915
SNGL-FAM-RES,Residential,-71.13134198541884,42.39660851153776
