placekey,latitude,longitude,top_category,open_hours,location_name
22k-222@62j-sjv-ndv,42.373857,-71.124783,Electronics and Appliance Stores,"{ ""Mon"": [[""11:00"", ""20:00""]], ""Tue"": [[""11:00"", ""20:00""]], ""Wed"": [[""11:00"", ""20:00""]], ""Thu"": [[""11:00"", ""20:00""]], ""Fri"": [[""10:00"", ""21:00""]], ""Sat"": [[""10:00"", ""21:00""]], ""Sun"": [[""12:00"", ""19:00""]] }",Planet Records
22m-222@62j-sk2-vzz,42.389829999999996,-71.12586800000001,Lessors of Real Estate,,Apartments at 44 Cogswell Ave
22q-222@62j-sk3-jd9,42.387928,-71.102538,Lessors of Real Estate,,Apartments at 140 Highland Ave
22s-224@62j-sj2-rhq,42.366319,-71.103475,Personal Care Services,"{ ""Mon"": [[""8:00"", ""22:30""]], ""Tue"": [[""8:00"", ""22:30""]], ""Wed"": [[""8:00"", ""22:30""]], ""Thu"": [[""8:00"", ""22:30""]], ""Fri"": [[""8:00"", ""22:30""]], ""Sat"": [[""8:00"", ""22:30""]], ""Sun"": [[""8:00"", ""22:30""]] }",Zeel
22t-222@62j-sj3-9j9,42.374652000000005,-71.101614,Lessors of Real Estate,,Apartments at 5 Beacon St
22t-222@62j-sjz-2rk,42.403324,-71.12599300000001,Lessors of Real Estate,,Apartments at 11 Westminster St
22t-223@62j-sjy-7yv,42.375339000000004,-71.149191,Activities Related to Credit Intermediation,"{ ""Mon"": [[""8:00"", ""21:00""]], ""Tue"": [[""8:00"", ""21:00""]], ""Wed"": [[""8:00"", ""21:00""]], ""Thu"": [[""8:00"", ""21:00""]], ""Fri"": [[""8:00"", ""21:00""]], ""Sat"": [[""8:00"", ""21:00""]], ""Sun"": [[""8:00"", ""21:00""]] }",Western Union
22y-222@62j-sjs-mx5,42.378382,-71.152465,Lessors of Real Estate,,Apartments at 130 Cushing St
22y-222@62j-sjz-789,42.399497,-71.126992,Lessors of Real Estate,,Apartments at 37 Elmwood St
232-222@62j-sjs-28v,42.384655,-71.136962,Lessors of Real Estate,,Apartments at 123 Chilton St
232-222@62j-sjv-8jv,42.37133,-71.114789,Personal Care Services,"{ ""Mon"": [[""10:00"", ""21:00""]], ""Tue"": [[""10:00"", ""21:00""]], ""Wed"": [[""10:00"", ""21:00""]], ""Thu"": [[""10:00"", ""21:00""]], ""Fri"": [[""10:00"", ""21:00""]], ""Sat"": [[""10:00"", ""21:00""]], ""Sun"": [[""11:00"", ""20:00""]] }",Qi Foot Spa
236-222@62j-sk2-v2k,42.389683000000005,-71.11993199999999,Special Food Services,,Sugar & SpiceThai Restaurant
237-222@62j-sk2-hnq,42.388148,-71.115914,Lessors of Real Estate,,Apartments at 62 Elm St
239-222@62j-sk3-kmk,42.395303000000006,-71.112216,Lessors of Real Estate,,Apartments at 11 Pearson Ave
23b-222@62j-sjz-4jv,42.408347,-71.128051,Lessors of Real Estate,,Apartments at 159 W Adams St
23g-222@62j-sk3-5mk,42.383595,-71.114441,Lessors of Real Estate,,Apartments at 35 Eustis St
23j-222@62j-sgg-75z,42.358265,-71.105925,Automotive Repair and Maintenance,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [[""9:00"", ""17:00""]], ""Sun"": [[""10:00"", ""16:00""]] }",Deleo's Auto Body & Service
23s-223@62j-sjv-8n5,42.370907,-71.114488,Drinking Places (Alcoholic Beverages),,Oberon
23y-222@62j-sj2-nqz,42.363161,-71.104063,Lessors of Real Estate,,Apartments at 66 Pearl St
246-222@62j-sjs-ysq,42.385861,-71.13606300000001,Lessors of Real Estate,,Apartments at 169 Chilton St
249-223@62j-sj2-qcq,42.364435,-71.107383,Lessors of Real Estate,,Apartments at 73 River St
24c-222@62j-sjv-fxq,42.364576,-71.11442,Lessors of Real Estate,,Apartments at 359 Western Ave
24j-223@62j-sj2-vs5,42.371947999999996,-71.085774,Restaurants and Other Eating Places,"{ ""Mon"": [], ""Tue"": [[""11:00"", ""22:00""]], ""Wed"": [[""11:00"", ""22:00""]], ""Thu"": [[""11:00"", ""22:00""]], ""Fri"": [[""11:00"", ""22:00""]], ""Sat"": [[""11:00"", ""22:00""]], ""Sun"": [[""11:00"", ""22:00""]] }",9Zaab
24j-223@62j-sjz-k4v,42.398352,-71.13101999999999,Special Food Services,"{ ""Mon"": [[""10:00"", ""18:00""]], ""Tue"": [[""10:00"", ""18:00""]], ""Wed"": [[""10:00"", ""18:00""]], ""Thu"": [[""10:00"", ""18:00""]], ""Fri"": [[""10:00"", ""18:00""]], ""Sat"": [], ""Sun"": [] }",Season to Taste Catering
24m-222@62j-sk2-m8v,42.391531,-71.114118,Lessors of Real Estate,,Condos at 22 Hall St
24z-222@62j-sk2-rhq,42.383501,-71.10641899999999,Other Personal Services,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }",Pupperiffic Care for Canine Companions
259-222@62j-sjv-fj9,42.366079,-71.113984,Lessors of Real Estate,,Condos at 32 Elmer St
25h-222@62j-sk2-p7q,42.377946,-71.107261,Restaurants and Other Eating Places,"{ ""Mon"": [[""7:00"", ""17:00""]], ""Tue"": [[""7:00"", ""17:00""]], ""Wed"": [[""7:00"", ""17:00""]], ""Thu"": [[""7:00"", ""17:00""]], ""Fri"": [[""7:00"", ""17:00""]], ""Sat"": [[""8:00"", ""17:00""]], ""Sun"": [[""8:00"", ""17:00""]] }",Broadsheet Coffee Roasters
25x-223@62j-sj3-4vz,42.367616,-71.081343,Lessors of Real Estate,,Apartments at 201 3rd St
zzw-222@62j-sj2-c3q,42.361788,-71.09729200000001,"Sporting Goods, Hobby, and Musical Instrument Stores",,Cambridge Bicycle
zzw-222@62j-sj2-t35,42.365857,-71.103945,Printing and Related Support Activities,,Cambridge Transcriptions
zzw-222@62j-sj3-7qz,42.37746,-71.095564,,,Webster Auto Sales
zzw-222@62j-sk3-dgk,42.385013,-71.100746,Lessors of Real Estate,,Apartments at 10 Avon St
zzw-223@62j-sj3-2tv,42.363323,-71.08247,Restaurants and Other Eating Places,"{ ""Mon"": [[""7:30"", ""21:00""]], ""Tue"": [[""7:30"", ""21:00""]], ""Wed"": [[""10:00"", ""22:00""]], ""Thu"": [[""10:00"", ""22:00""]], ""Fri"": [[""10:00"", ""22:00""]], ""Sat"": [[""10:00"", ""21:00""]], ""Sun"": [] }",Commonwealth Restaurant and Market
