placekey,latitude,longitude,top_category,open_hours,location_name
zzy-222@62j-sj2-75z,42.3731,-71.09354,Restaurants and Other Eating Places,"{ ""Mon"": [[""4:00"", ""22:00""]], ""Tue"": [[""4:00"", ""22:00""]], ""Wed"": [[""4:00"", ""22:00""]], ""Thu"": [[""4:00"", ""22:00""]], ""Fri"": [[""4:00"", ""22:00""]], ""Sat"": [[""4:00"", ""22:00""]], ""Sun"": [[""4:00"", ""22:00""]] }",Dunkin'
zzy-222@62j-sj2-c3q,42.362556,-71.098477,Restaurants and Other Eating Places,"{ ""Mon"": [[""11:00"", ""20:00""]], ""Tue"": [[""11:00"", ""20:00""]], ""Wed"": [[""11:00"", ""20:00""]], ""Thu"": [[""11:00"", ""18:00""]], ""Fri"": [[""11:00"", ""18:00""]], ""Sat"": [[""11:00"", ""18:00""]], ""Sun"": [[""11:00"", ""20:00""]] }",Abide
222-223@62j-sj2-xnq,42.375823,-71.08402099999999,Printing and Related Support Activities,,Lois Fiore
224-223@62j-sj2-syv,42.367612,-71.105535,Offices of Other Health Practitioners,"{ ""Mon"": [[""8:00"", ""18:00""]], ""Tue"": [[""8:00"", ""18:00""]], ""Wed"": [[""8:00"", ""18:00""]], ""Thu"": [[""8:00"", ""18:00""]], ""Fri"": [[""8:00"", ""18:00""]], ""Sat"": [], ""Sun"": [] }",Cambridge Biotherapies
224-223@62j-sk2-nh5,42.378346,-71.107261,Offices of Dentists,,Bright Dental
227-222@62j-sjv-hyv,42.368190999999996,-71.114287,Lessors of Real Estate,,Apartments at 100 Banks St
228-222@62j-sj3-7nq,42.376871,-71.09863399999999,Lessors of Real Estate,,Apartments at 51 Concord Ave
228-223@62j-sjv-8jv,42.371984999999995,-71.11554100000001,Lessors of Real Estate,,Apartments at 1218 Massachusetts Ave
22f-222@62j-sj2-6c5,42.366707,-71.096554,Lessors of Real Estate,,Apartments at 183 Harvard St
22g-222@62j-sjv-f75,42.364936,-71.11441500000001,Lessors of Real Estate,,Apartments at 12 Hingham St
22h-222@62j-sj2-6p9,42.371745000000004,-71.092803,Lessors of Real Estate,,Apartments at 12 Palermo St
22y-222@62j-sj2-qcq,42.3642,-71.107091,Lessors of Real Estate,,Condos at 100 River St
23h-222@62j-sj2-kvf,42.370163,-71.10141899999999,Lessors of Real Estate,,Apartments at 22 Amory St
267-222@62j-sj3-8jv,42.375099,-71.095597,Lessors of Real Estate,,Condos at 2 Tremont Pl
26m-222@62j-sk3-3wk,42.378192999999996,-71.120801,Religious Organizations,,First Church of Christ Scientist
zzw-225@62j-sjv-9fz,42.373611,-71.12283599999999,Individual and Family Services,,Cambridge Center for Adult Education
zzy-223@62j-sj2-89z,42.3729,-71.095861,"Other Professional, Scientific, and Technical Services","{ ""Mon"": [[""8:00"", ""18:00""]], ""Tue"": [[""8:00"", ""18:00""]], ""Wed"": [], ""Thu"": [[""8:00"", ""18:00""]], ""Fri"": [[""8:00"", ""18:00""]], ""Sat"": [[""8:00"", ""14:00""]], ""Sun"": [] }",Cambridge Cat Clinic
223-222@62j-sj3-4y9,42.369468,-71.083053,Child Day Care Services,,105 Spring St
223-223@62j-sj2-snq,42.366795,-71.106705,Religious Organizations,,Aletheia Church Inc
224-222@62j-sj8-nt9,42.379355,-71.087063,Automotive Repair and Maintenance,"{ ""Mon"": [[""8:00"", ""17:30""]], ""Tue"": [[""8:00"", ""17:30""]], ""Wed"": [[""8:00"", ""17:30""]], ""Thu"": [[""8:00"", ""17:30""]], ""Fri"": [[""8:00"", ""17:30""]], ""Sat"": [[""8:00"", ""13:00""]], ""Sun"": [] }",BBC Auto Repair
228-222@62j-sj2-5cq,42.36953,-71.099244,Lessors of Real Estate,,Apartments at 12 Tremont St
229-222@62j-sk2-qfz,42.376068,-71.10955600000001,Lessors of Real Estate,,Apartments at 100 Trowbridge St
22c-222@62j-sj3-7t9,42.376740000000005,-71.095957,Lessors of Real Estate,,Condos at 67 Prospect St
22n-222@62j-sj3-bzf,42.377829,-71.092387,Lessors of Real Estate,,Apartments at 18 Linden St
22q-222@62j-sj2-rkz,42.36606,-71.103222,Personal and Household Goods Repair and Maintenance,"{ ""Mon"": [], ""Tue"": [], ""Wed"": [[""7:00"", ""19:00""]], ""Thu"": [[""7:00"", ""19:00""]], ""Fri"": [[""7:00"", ""19:00""]], ""Sat"": [[""9:00"", ""15:00""]], ""Sun"": [] }",Jimmy's Shoe Repair
22v-222@62j-sk2-rx5,42.3786,-71.105644,Lessors of Real Estate,,Apartments at 397 Washington St
22w-222@62j-sj2-rkz,42.36587,-71.103442,Restaurants and Other Eating Places,,Donut Villa Diner
22y-223@62j-sj3-bzf,42.377724,-71.091542,Lessors of Real Estate,,Apartments at 37 Merriam St
23g-222@62j-sj2-7h5,42.368951,-71.09198,Lessors of Real Estate,,Apartments at 31 Plymouth St
249-222@62j-sj2-87q,42.370736,-71.098435,Lessors of Real Estate,,Apartments at 36 Tremont St
24y-222@62j-sgg-jy9,42.358936,-71.110075,Lessors of Real Estate,,Condos at 2 Newton St
26w-222@62j-sjv-kfz,42.368396999999995,-71.116023,Restaurants and Other Eating Places,"{ ""Mon"": [[""0:00"", ""1:00""]], ""Tue"": [], ""Wed"": [[""22:00"", ""24:00""]], ""Thu"": [[""0:00"", ""1:00""], [""22:00"", ""24:00""]], ""Fri"": [[""0:00"", ""1:00""], [""23:00"", ""24:00""]], ""Sat"": [[""0:00"", ""2:00""], [""23:00"", ""24:00""]], ""Sun"": [[""0:00"", ""2:00""], [""22:00"", ""24:00""]] }",Dunster Grille
27z-222@62j-sj2-x5z,42.370499,-71.08969300000001,Lessors of Real Estate,,Apartments at 3 Marney St
zzw-222@62j-sgg-fmk,42.357611,-71.112352,Lessors of Real Estate,,Apartments at 158 Magazine St
222-222@62j-sj2-v4v,42.374443,-71.08789499999999,Building Finishing Contractors,,Jkp Structural Engineering Group
223-222@62j-sj2-k75,42.372842,-71.103752,Lessors of Real Estate,,Apartments at 25 Fainwood Cir
227-222@62j-sj2-jjv,42.368018,-71.108649,Lessors of Real Estate,,Apartments at 900 Massachusetts Ave
227-222@62j-sj3-7kf,42.377129,-71.098991,Lessors of Real Estate,,Apartments at 26 Adrian St
228-222@62j-sj3-52k,42.368105,-71.083683,Lessors of Real Estate,,Apartments at 189 Charles St
22c-222@62j-sjv-bc5,42.37294,-71.119674,Depository Credit Intermediation,"{ ""Mon"": [[""7:00"", ""19:00""]], ""Tue"": [[""7:00"", ""19:00""]], ""Wed"": [[""7:00"", ""19:00""]], ""Thu"": [[""7:00"", ""19:00""]], ""Fri"": [[""7:00"", ""19:00""]], ""Sat"": [[""7:00"", ""19:00""]], ""Sun"": [[""8:00"", ""17:00""]] }",Capital One
22d-222@62j-sj2-rff,42.364792,-71.102071,Used Merchandise Stores,"{ ""Mon"": [[""11:00"", ""20:00""]], ""Tue"": [[""11:00"", ""20:00""]], ""Wed"": [[""11:00"", ""20:00""]], ""Thu"": [[""11:00"", ""20:00""]], ""Fri"": [[""11:00"", ""20:00""]], ""Sat"": [[""11:00"", ""20:00""]], ""Sun"": [[""11:00"", ""18:00""]] }",Boomerangs
236-222@62j-sj2-kmk,42.375758000000005,-71.10367600000001,Lessors of Real Estate,,Condos at 54 Beacon St
238-222@62j-sjv-8qf,42.372417,-71.11612,Restaurants and Other Eating Places,"{ ""Mon"": [], ""Tue"": [[""11:00"", ""21:00""]], ""Wed"": [[""11:00"", ""21:00""]], ""Thu"": [[""11:00"", ""21:00""]], ""Fri"": [[""11:00"", ""21:00""]], ""Sat"": [[""11:00"", ""21:00""]], ""Sun"": [] }",Mr Bartley's Gourmet Burgers
23p-223@62j-sj2-q9f,42.362372,-71.10996999999999,Lessors of Real Estate,,Apartments at 78 Pleasant St
23z-222@62j-sjv-q75,42.378972,-71.126387,Lessors of Real Estate,,Apartments at 4 Craigie St
243-222@62j-sj2-s5z,42.363671999999994,-71.101453,Restaurants and Other Eating Places,,ZuZu
24d-222@62j-sj2-nqz,42.363620000000004,-71.104068,Lessors of Real Estate,,Apartments at 53 Pearl St
25h-222@62j-sjv-ht9,42.368378,-71.11246899999999,Lessors of Real Estate,,Apartments at 585 FRANKLIN
